IA1	IB1	averageP	sdp	overlap	direction	I1qw	I2qw
mild high blood pressure	severe high blood pressure	0.419238938053097	0.0451814678774805	0.838477876106195	-1	1 high blood pressure	2 high blood pressure
mild high blood pressure	mild memory problems	0.392876146788991	0.0462953468226614	0.785752293577982	-1	1 high blood pressure	1 memory problems
mild high blood pressure	severe memory problems	0.363281818181818	0.0447963807018876	0.726563636363636	-1	1 high blood pressure	2 memory problems
mild high blood pressure	mild abnormal sweating	0.573395454545455	0.0460385162539277	0.853209090909091	1	1 high blood pressure	1 abnormal sweating
mild high blood pressure	severe abnormal sweating	0.486449541284404	0.0489537393931863	0.972899082568807	-1	1 high blood pressure	2 abnormal sweating
mild high blood pressure	mild skin discoloration	0.555686363636364	0.0470767933091234	0.888627272727273	1	1 high blood pressure	1 skin discoloration
mild high blood pressure	severe skin discoloration	0.477959090909091	0.0466616050291489	0.955918181818182	-1	1 high blood pressure	2 skin discoloration
mild high blood pressure	mild rash	0.531031818181818	0.0464966249349909	0.937936363636364	1	1 high blood pressure	1 rash
mild high blood pressure	severe rash	0.500463302752294	0.0475128578194836	0.999073394495413	1	1 high blood pressure	2 rash
mild high blood pressure	mild abnormal bruising	0.590184684684685	0.0462342809532841	0.819630630630631	1	1 high blood pressure	1 abnormal bruising
mild high blood pressure	severe abnormal bruising	0.46398623853211	0.0450390515498563	0.92797247706422	-1	1 high blood pressure	2 abnormal bruising
mild high blood pressure	a mildly abnormal mole	0.606985294117647	0.0476289962590531	0.786029411764706	1	1 high blood pressure	1 abnormal mole
mild high blood pressure	a severely abnormal mole	0.522669491525424	0.0451745714463805	0.954661016949153	1	1 high blood pressure	2 abnormal mole
mild high blood pressure	mild diarrhea	0.437677570093458	0.0484877205758717	0.875355140186916	-1	1 high blood pressure	1 diarrhea
mild high blood pressure	severe diarrhea	0.46716814159292	0.0468775688130732	0.934336283185841	-1	1 high blood pressure	2 diarrhea
mild high blood pressure	mild constipation	0.502103603603604	0.0474433273001471	0.995792792792793	1	1 high blood pressure	1 constipation
mild high blood pressure	severe constipation	0.451490825688073	0.0463094451523764	0.902981651376147	-1	1 high blood pressure	2 constipation
mild high blood pressure	mild localized bleeding	0.424409090909091	0.0467078777158281	0.848818181818182	-1	1 high blood pressure	1 localized bleeding
mild high blood pressure	severe localized bleeding	0.398372727272727	0.0476518316615118	0.796745454545455	-1	1 high blood pressure	2 localized bleeding
mild high blood pressure	mild localized pain	0.456809734513274	0.0460262243377521	0.913619469026549	-1	1 high blood pressure	1 localized pain
mild high blood pressure	severe localized pain	0.427102803738318	0.0469780904133632	0.854205607476636	-1	1 high blood pressure	2 localized pain
mild high blood pressure	mild generalized pain	0.428359649122807	0.0442939971982311	0.856719298245614	-1	1 high blood pressure	1 generalized pain
mild high blood pressure	severe generalized pain	0.413207547169811	0.0472985381597974	0.826415094339623	-1	1 high blood pressure	2 generalized pain
mild high blood pressure	mild localized numbness	0.4473	0.0459827270618822	0.8946	-1	1 high blood pressure	1 localized numbness
