IA1	IA2	IB1	averageP	sdp	overlap	direction
mild difficulty seeing	NA	refdist	0.542628449280995	0.00694590709649036	0.91474310143801	1
mild high blood pressure	mild dry mouth	refdist	0.502329708737864	0.00912696001359322	0.995340582524272	1
severe memory problems	NA	refdist	0.659827733540493	0.00624944593219923	0.680344532919013	1
mild localized numbness	mild eye irritation	refdist	0.49704020979021	0.00963443914596512	0.99408041958042	-1
mild constipation	NA	refdist	0.482317996505533	0.00684987120521389	0.964635993011066	-1
mild slurred speech	severe memory problems	refdist	0.632032239269761	0.0090230555801027	0.735935521460478	1
mild dizziness	severe slurred speech	refdist	0.562976699029126	0.00894788087011128	0.874046601941748	1
mild headache	NA	refdist	0.444803204113924	0.0069238495001711	0.889606408227848	-1
severe generalized pain	NA	refdist	0.60823367029549	0.00667612722396125	0.78353265940902	1
mild memory problems	mild coughing	refdist	0.551616563227308	0.00935827157735607	0.896766873545384	1
mild dizziness	mild daytime drowsiness	refdist	0.487944832944833	0.00941498365286663	0.975889665889666	-1
severe sneezing	NA	refdist	0.459098523124757	0.00685818033312706	0.918197046249514	-1
severe constipation	severe sneezing	refdist	0.541614069179946	0.00939832998699201	0.916771861640109	1
mild high blood pressure	severe change in appetite	refdist	0.518690966098374	0.00880981730624202	0.962618067803253	1
mild dizziness	severe daytime drowsiness	refdist	0.532564112512124	0.00919456580414707	0.934871774975752	1
severe diarrhea	severe change in appetite	refdist	0.538489415915327	0.00907256191932288	0.923021168169345	1
mild change in weight	severe coughing	refdist	0.525034557235421	0.00932324735443237	0.949930885529158	1
severe generalized pain	severe daytime drowsiness	refdist	0.595058058252427	0.00906841583797589	0.809883883495146	1
mild difficulty seeing	mild sneezing	refdist	0.508010101010101	0.00902784598402399	0.983979797979798	1
mild slurred speech	NA	refdist	0.521240675990676	0.00726239199108563	0.957518648018648	1
mild rash	mild difficulty seeing	refdist	0.526771568627451	0.00907845779329038	0.946456862745098	1
mild difficulty sleeping	severe memory problems	refdist	0.634547697687974	0.00911962804276614	0.730904604624053	1
mild difficulty hearing	NA	refdist	0.523570734551108	0.00717135484104135	0.952858530897785	1
mild localized pain	NA	refdist	0.503884615384615	0.00684287755922046	0.992230769230769	1
mild dry mouth	NA	refdist	0.407139137193937	0.00703285787411563	0.814278274387874	-1
severe eye irritation	severe dry mouth	refdist	0.51301766647253	0.00954284531920618	0.973964667054941	1
severe difficulty seeing	severe difficulty sleeping	refdist	0.642869877646145	0.00903017838749843	0.71426024470771	1
mild abnormal sweating	mild skin discoloration	refdist	0.438178626842514	0.00922811735769569	0.876357253685027	-1
mild difficulty breathing	mild slurred speech	refdist	0.578883942457232	0.00941020765788332	0.842232115085537	1
severe skin discoloration	severe abnormal bruising	refdist	0.537647161741835	0.00958897684820051	0.92470567651633	1
mild change in weight	severe diarrhea	refdist	0.524975107800862	0.0089414643503462	0.950049784398275	1
severe constipation	NA	refdist	0.561452778857365	0.00701705254520618	0.87709444228527	1
severe difficulty breathing	NA	refdist	0.6583434225844	0.00659866166755055	0.683313154831199	1
severe localized bleeding	severe difficulty hearing	refdist	0.637722826086957	0.00896668924588415	0.724554347826087	1
severe headache	NA	refdist	0.579455445544554	0.00707170510076927	0.841089108910891	1
severe abnormal sweating	severe daytime drowsiness	refdist	0.537762487852284	0.0091548276480847	0.924475024295432	1
mild coughing	severe abnormal bruising	refdist	0.525299379123011	0.00916246154347418	0.949401241753977	1
severe localized pain	NA	refdist	0.610492522819965	0.00666842436431562	0.77901495436007	1
severe difficulty seeing	NA	refdist	0.648087024087024	0.00644076786387099	0.703825951825952	1
severe abnormal sweating	severe difficulty sleeping	refdist	0.60134558537534	0.00938181043410277	0.797308829249319	1
mild difficulty hearing	mild coughing	refdist	0.506886711930165	0.00946344992244117	0.98622657613967	1
mild skin discoloration	NA	refdist	0.40459786614937	0.00678717251022449	0.809195732298739	-1
mild localized numbness	NA	refdist	0.503834951456311	0.00712520298648169	0.992330097087379	1
mild diarrhea	severe generalized pain	refdist	0.593246111975117	0.00872404891690671	0.813507776049767	1
severe abnormal bruising	NA	refdist	0.545959564541213	0.00645435922471218	0.908080870917574	1
mild rash	NA	refdist	0.458987930352196	0.0068940203571442	0.917975860704393	-1
severe memory problems	severe slurred speech	refdist	0.643934537684538	0.00898047813799226	0.712130924630925	1
mild headache	mild change in appetite	refdist	0.420051413881748	0.0121137451112574	0.840102827763496	-1
severe skin discoloration	severe sneezing	refdist	0.492565597667638	0.00950283471212602	0.985131195335277	-1
severe slurred speech	NA	refdist	0.58083038663299	0.00671743123282577	0.83833922673402	1
mild memory problems	NA	refdist	0.579079836829837	0.00730687885997159	0.841840326340326	1
mild localized pain	mild slurred speech	refdist	0.50716317016317	0.00953992857272614	0.98567365967366	1
mild rash	mild change in appetite	refdist	0.432168743818002	0.0118537313026939	0.864337487636004	-1
mild dizziness	NA	refdist	0.494988940628638	0.00695972645413306	0.989977881257276	-1
mild skin discoloration	mild change in appetite	refdist	0.387898159028594	0.00903388151043953	0.775796318057188	-1
mild memory problems	severe dry mouth	refdist	0.554274033792969	0.00940586984231057	0.891451932414061	1
severe diarrhea	severe difficulty hearing	refdist	0.598379584707937	0.00935501318293726	0.803240830584126	1
mild generalized pain	NA	refdist	0.519259122670807	0.00696722615551853	0.961481754658385	1
severe localized numbness	severe fever	refdist	0.560380812242496	0.0127699394291173	0.879238375515009	1
severely abnormal mole	severe eye irritation	refdist	0.514950911913077	0.00942646708042431	0.970098176173846	1
severe high blood pressure	NA	refdist	0.59205173084403	0.00678967697688858	0.815896538311941	1
mild diarrhea	NA	refdist	0.531241788143829	0.00698333274970952	0.937516423712342	1
severe eye irritation	NA	refdist	0.52794099378882	0.00712995224166871	0.94411801242236	1
mild coughing	severe localized numbness	refdist	0.537271827706636	0.00884467825867672	0.925456344586729	1
severe abnormal sweating	severe coughing	refdist	0.544470107108082	0.00903166458991106	0.911059785783837	1
mild difficulty sleeping	severe slurred speech	refdist	0.545956268221574	0.00937710852381504	0.908087463556851	1
mild difficulty seeing	severe abnormal sweating	refdist	0.538181322957198	0.00915882698938855	0.923637354085603	1
mild diarrhea	mild fever	refdist	0.520272352941176	0.0093217422975705	0.959455294117647	1
mild high blood pressure	mild skin discoloration	refdist	0.50201222114452	0.00977495248217467	0.99597555771096	1
mild abnormal sweating	mild diarrhea	refdist	0.514532129683557	0.00949094175561501	0.970935740632887	1
severe diarrhea	severe fever	refdist	0.558624852998824	0.012470708771068	0.882750294002352	1
mild abnormal bruising	mild dizziness	refdist	0.482162267080745	0.00894530302140341	0.964324534161491	-1
mild abnormal sweating	severe headache	refdist	0.552693181818182	0.0128250111470585	0.894613636363636	1
severe high blood pressure	severe abnormal sweating	refdist	0.577543596730245	0.0089848098333566	0.84491280653951	1
mild difficulty sleeping	NA	refdist	0.536920489891135	0.00719423289288227	0.92615902021773	1
severe abnormal sweating	NA	refdist	0.517986952288218	0.00698589427927678	0.964026095423564	1
severe rash	NA	refdist	0.487080530273051	0.0068265581611146	0.974161060546102	-1
mild localized bleeding	NA	refdist	0.555827633113098	0.00708071500225096	0.888344733773805	1
mild daytime drowsiness	severe constipation	refdist	0.542090590979782	0.0091862945153988	0.915818818040435	1
mildly abnormal mole	severe high blood pressure	refdist	0.549539478802023	0.00914402164997561	0.900921042395955	1
mild abnormal sweating	mild dry mouth	refdist	0.438207686335404	0.00915927687569331	0.876415372670807	-1
mild difficulty hearing	severe constipation	refdist	0.554547609794015	0.00908100596798815	0.89090478041197	1
severe skin discoloration	severe difficulty breathing	refdist	0.626601087589823	0.00911423033925817	0.746797824820354	1
severe memory problems	severe difficulty hearing	refdist	0.649971850126189	0.00876760145188824	0.700056299747622	1
mild constipation	severe daytime drowsiness	refdist	0.530404424607025	0.00924301135961175	0.93919115078595	1
mild eye irritation	NA	refdist	0.467846064139942	0.00699007526254481	0.935692128279883	-1
mild difficulty hearing	severe eye irritation	refdist	0.526760341813944	0.00887880596405418	0.946479316372111	1
mild eye irritation	mild fever	refdist	0.473660784313725	0.0131614244051858	0.947321568627451	-1
mild high blood pressure	severe coughing	refdist	0.545845092322643	0.00928397459819413	0.908309815354713	1
severe rash	severe headache	refdist	0.560875296912114	0.0138697476825217	0.878249406175772	1
mild memory problems	mild dry mouth	refdist	0.545027006022926	0.00949475757219164	0.909945987954148	1
severe skin discoloration	NA	refdist	0.500621185617104	0.0067080592122552	0.998757628765792	1
severe difficulty sleeping	severe change in appetite	refdist	0.594874142325034	0.00892805784887474	0.810251715349931	1
mild localized pain	mild fever	refdist	0.4982624975495	0.00895905280664548	0.996524995099	-1
mild daytime drowsiness	NA	refdist	0.463741540256709	0.00698581022449673	0.927483080513419	-1
severe localized bleeding	severe coughing	refdist	0.626186467042582	0.00895826513351518	0.747627065914836	1
mild dizziness	severe skin discoloration	refdist	0.498770635074772	0.00904869193993942	0.997541270149544	-1
mild slurred speech	severe difficulty seeing	refdist	0.622646076146076	0.00913233014502548	0.754707847707848	1
severe fever	NA	refdist	0.560542664818848	0.00689879473869308	0.878914670362305	1
severe diarrhea	NA	refdist	0.551287017271492	0.0072380064635019	0.897425965457015	1
severe localized numbness	NA	refdist	0.561046073094868	0.006699356137379	0.877907853810264	1
severe generalized pain	severe difficulty breathing	refdist	0.647964070693339	0.00917558941942501	0.704071858613323	1
